"Source:","/home/gibi500/Vives/projectWeek/pcb/ControlleBord/ControlleBord.kicad_sch"
"Date:","Thu 02 Mar 2023 10:11:45 AM CET"
"Tool:","Eeschema (6.0.11)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","75"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","Manufacturer","PARTREV","Package","SNAPEDA_PN","STANDARD"
"","","C1","470μF","Device:C","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~","","","","","","","",""
"","","C2","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C3","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C4","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C5","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C6","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C7","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C8","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C10","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C11","470μF","Device:C","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~","","","","","","","",""
"","","C12","22μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C13","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C14","15nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C15","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C16","2.2μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C17","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C18","33μF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","","","","","",""
"","","C19","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C20","100pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C21","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C22","22μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C23","1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C24","10μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C25","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","C26","0.1μF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","",""
"","","CR1","SS34-E3/57T","2023-02-22_21-35-58:SS34-E3{slash}57T","footprints1.0:SS34-E3&slash_57T","","","","","","","","",""
"","","D1","PESD5V0L1BA,115","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-323","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","",""
"","","D2","PESD5V0L1BA,115","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-323","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","",""
"","","D3","PESD5V0L1BA,115","Diode:ESD9B5.0ST5G","Diode_SMD:D_SOD-323","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF","","","","","","","",""
"","","J1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","footprints3.0:YO0221500000G","~","","","","","","","",""
"","","J2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","footprints3.0:YO0221500000G","~","","","","","","","",""
"","","J3","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","",""
"","","J4","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","footprints3.0:YO0221500000G","~","","","","","","","",""
"","","J5","ZX62D-B-5P8","ZX62D-B-5P8:ZX62D-B-5P8","Kicad:HRS_ZX62D-B-5P8","","","","Hirose Electric","","N/A","","","Manufacturer Recommendations"
"","","L1","6.8μH","Device:L","Inductor_THT:L_Toroid_Vertical_L26.7mm_W14.0mm_P10.16mm_Pulse_D","~","","","","","","","",""
"","","L2","33μH","Device:L","Inductor_SMD:L_Bourns_SRN6045TA","~","","","","","","","",""
"","","L3","49μH","Device:L","Inductor_THT:L_Toroid_Vertical_L21.6mm_W9.1mm_P8.40mm_Bourns_5700","~","","","","","","","",""
"","","Q1","IRLZ34N","Transistor_FET:IRLZ34N","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720","","","","","","","",""
"","","Q2","FQP27P06","Transistor_FET:FQP27P06","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.com/pub/Collateral/FQP27P06-D.PDF","","","","","","","",""
"","","Q3","BC818","Transistor_BJT:BC818","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","","","","","","","",""
"","","Q4","BC818","Transistor_BJT:BC818","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","","","","","","","",""
"","","R1","51k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R2","47k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R3","18k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R4","82k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R5","9.1k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R6","R_Shunt","Device:R_Shunt","Package_TO_SOT_THT:TO-220-2_Vertical","~","","","","","","","",""
"","","R7","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R8","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R9","150k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R10","R_Shunt","Device:R_Shunt","Package_TO_SOT_THT:TO-220-2_Vertical","~","","","","","","","",""
"","","R11","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R12","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R13","10","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R14","1.5k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R15","3.9k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R16","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R17","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R18","22.1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R19","47.5K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R20","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R21","1K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R22","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
"","","R23","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","",""
